skill, wiki_page, average_views
software design techniques,  Software_development_process,  1697
software development process management,  Software_development_process,  1697
software development methods,  List_of_software_development_philosophies,  264
rapid application development,  Rapid_application_development,  608
agile software development,  Agile_software_development,  5426
capability maturity model,  Capability_Maturity_Model_Integration,  920
waterfall model,  Waterfall_model,  1806
spiral model,  Spiral_model,  486
v-model,  V-Model_(software_development),  480
design patterns,  Software_design_pattern,  1599
risk management,  Risk_management,  2274
software development techniques,  Software_development_process,  1697
software prototyping,  Software_prototyping,  508
object oriented development,  Object-oriented_programming,  3381
flowcharts,  Flowchart,  2123
reusability,  Reusability,  93
software product lines,  Software_product_line,  50
error handling and recovery,  Error_recovery_control,  54
software verification and validation,  Software_verification_and_validation,  419
software prototyping,  Software_prototyping,  508
operational analysis,  Performance_operational_analysis,  5
software defect analysis,  Software_testing,  2795
software testing and debugging,  Debugging,  517
fault tree analysis,  Fault_tree_analysis,  403
process validation,  Process_validation,  73
walkthroughs,  Walkthrough,  149
pair programming,  Pair_programming,  456
use cases,  Use_case,  1132
acceptance testing,  Acceptance_testing,  847
traceability,  Requirements_traceability,  150
formal software verification,  Formal_verification,  221
empirical software validation,  Empirical_process_(process_control_model),  51
software post-development issues,  Software_maintenance,  473
software reverse engineering,  Reverse_engineering,  914
documentation,  Documentation,  383
backup procedures,  Backup,  772
software evolution,  Software_evolution,  86
software version control,  Version_control,  705
maintaining software,  Software_maintenance,  473
system administration,  System_administrator,  3662
collaboration in software development,  Collaborative_software_development_model,  39
open source model,  Open-source_model,  105
programming teams,  Programming_team,  42
theory of computation,  Theory_of_computation,  349
models of computation,  Model_of_computation,  121
computability,  Computability,  86
lambda calculus,  Lambda_calculus,  1185
turing machines,  Turing_machine,  2146
recursive functions,  Recursive_function,  93
probabilistic computation,  Probabilistic_Turing_machine,  41
quantum computation theory,  Quantum_computing,  2668
quantum complexity theory,  Quantum_complexity_theory,  36
quantum communication complexity,  Communication_complexity,  38
quantum query complexity,  Quantum_complexity_theory,  36
quantum information theory,  Quantum_information,  174
interactive computation,  Interactive_computation,  24
streaming models,  Streaming_algorithm,  97
concurrency,  Concurrency_(computer_science),  409
parallel computing models,  Parallel_programming_model,  152
distributed computing models,  Distributed_computing,  1164
process calculi,  Process_calculus,  68
timed and hybrid models,  Hybrid_system,  84
abstract machines,  Abstract_machine,  122
formal languages and automata theory,  Automata_theory,  647
formalisms,  Formalism,  61
algebraic language theory,  Formal_language,  445
rewrite systems,  Rewriting,  84
automata over infinite objects,  Rabin_automaton,  5
grammars and context-free languages,  Context-free_grammar,  638
tree languages,  Regular_tree_grammar,  22
automata extensions,  Automata_theory,  647
transducers,  Category:Transducers,  13
quantitative automata,  Computational_sociology,  72
regular languages,  Regular_language,  289
computational complexity and cryptography,  Computational_complexity_theory,  781
complexity classes,  Complexity_class,  131
problems reductions and completeness,  Polynomial-time_reduction,  74
communication complexity,  Communication_complexity,  38
circuit complexity,  Circuit_complexity,  44
oracles and decision trees,  Decision_tree_model,  62
algebraic complexity theory,  Geometric_complexity_theory,  11
quantum complexity theory,  Quantum_complexity_theory,  36
proof complexity,  Proof_complexity,  15
interactive proof systems,  Interactive_proof_system,  45
complexity theory and logic,  Descriptive_complexity_theory,  18
cryptographic primitives,  Cryptographic_primitive,  62
cryptographic protocols,  Cryptographic_protocol,  168
logic,  Logic,  2274
logic and verification,  Language,  3605
proof theory,  Proof_theory,  151
modal and temporal logics,  Temporal_logic,  117
automated reasoning,  Automated_reasoning,  113
constraint and logic programming,  Constraint_logic_programming,  53
constructive mathematics,  Constructivism_(mathematics),  107
description logics,  Description_logic,  145
equational logic and rewriting,  Maude_system,  18
finite model theory,  Finite_model_theory,  39
higher order logic,  Higher-order_logic,  93
linear logic,  Linear_logic,  65
programming logic,  Logic_programming,  343
abstraction,  Abstraction,  662
verification by model checking,  Model_checking,  129
type theory,  Type_theory,  288
hoare logic,  Hoare_logic,  135
separation logic,  Separation_logic,  33
design and analysis of algorithms,  Analysis_of_algorithms,  470
graph algorithms analysis,  Graph_theory,  1555
network flows,  Flow_network,  244
sparsification and spanners,  Exponential_time_hypothesis,  49
shortest paths,  Shortest_path_problem,  773
dynamic graph algorithms,  Dynamic_problem_(algorithms),  16
approximation algorithms analysis,  Approximation_algorithm,  149
scheduling algorithms,  Scheduling_(computing),  736
packing and covering problems,  Covering_problems,  15
routing and network design problems,  Network_planning_and_design,  154
facility location and clustering,  Facility_location_problem,  83
rounding techniques,  Rounding,  562
stochastic approximation,  Stochastic_approximation,  62
numeric approximation algorithms,  Numerical_analysis,  766
mathematical optimization,  Mathematical_optimization,  911
discrete optimization,  Discrete_optimization,  50
network optimization,  Network_theory,  318
continuous optimization,  Continuous_optimization,  13
linear programming,  Linear_programming,  1557
semidefinite programming,  Semidefinite_programming,  111
convex optimization,  Convex_optimization,  321
quasiconvex programming and unimodality,  Quasiconvex_function,  159
stochastic control and optimization,  Stochastic_optimization,  138
quadratic programming,  Quadratic_programming,  287
nonconvex optimization,  Convex_optimization,  321
mixed discrete-continuous optimization,  List_of_optimization_software,  177
submodular optimization and polymatroids,  Polymatroid,  9
integer programming,  Integer_programming,  468
data structures design and analysis,  Data_structure,  1485
data compression,  Data_compression,  1024
pattern matching,  Pattern_matching,  229
sorting and searching,  Search_algorithm,  524
predecessor queries,  X-fast_trie,  21
cell probe models and lower bounds,  Cell-probe_model,  6
online algorithms,  Online_algorithm,  121
online learning algorithms,  Online_machine_learning,  214
scheduling algorithms,  Scheduling_(computing),  736
caching and paging algorithms,  Page_replacement_algorithm,  441
k-server algorithms,  K-server_problem,  31
adversary models,  Adversary_model,  13
parameterized complexity and exact algorithms,  Parameterized_complexity,  53
fixed parameter tractability,  Parameterized_complexity,  53
w hierarchy,  Parameterized_complexity,  53
streaming sublinear and near linear time algorithms,  Selection_algorithm,  375
bloom filters and hashing,  Bloom_filter,  823
sketching and sampling,  Streaming_algorithm,  97
lower bounds and information complexity,  Circuit_complexity,  44
random order and robust communication complexity,  Complex_network,  133
nearest neighbor algorithms,  Nearest_neighbour_algorithm,  138
parallel algorithms,  Parallel_algorithm,  80
mapreduce algorithms,  MapReduce,  1606
self-organization,  Self-organization,  277
shared memory algorithms,  Parallel_algorithm,  80
vector / streaming algorithms,  Streaming_algorithm,  97
massively parallel algorithms,  Massively_parallel_(computing),  117
distributed algorithms,  Distributed_algorithm,  58
mapreduce algorithms,  MapReduce,  1606
self-organization,  Self-organization,  277
algorithm design techniques,  Algorithm_design,  210
backtracking,  Backtracking,  499
branch-and-bound,  Branch_and_bound,  358
divide and conquer,  Divide_and_conquer_algorithm,  140
dynamic programming,  Dynamic_programming,  1399
preconditioning,  Preconditioner,  84
concurrent algorithms,  Concurrent_algorithm,  15
randomness geometry and discrete structures,  ACM_Computing_Classification_System,  79
pseudorandomness and derandomization,  Pseudorandom_generator,  42
computational geometry,  Computational_geometry,  223
generating random combinatorial structures,  Combinatorial_class,  6
random walks and markov chains,  Random_walk,  793
expander graphs and randomness extractors,  Salil_Vadhan,  10
error-correcting codes,  Error_detection_and_correction,  755
random projections and metric embeddings,  Johnson–Lindenstrauss_lemma,  0
random network models,  Random_graph,  124
theory and algorithms for application domains,  ACM_Computing_Classification_System,  79
machine learning theory,  Computational_learning_theory,  117
sample complexity and generalization bounds,  Generalization_error,  73
boolean function learning,  Boolean_algebra,  1457
unsupervised learning and clustering,  Unsupervised_learning,  680
kernel methods,  Kernel_method,  436
support vector machines,  Support_vector_machine,  2130
gaussian processes,  Gaussian_process,  425
boosting,  Boosting_(machine_learning),  291
bayesian analysis,  Robust_Bayesian_analysis,  8
inductive inference,  Inductive_reasoning,  1732
online learning theory,  E-learning_(theory),  127
multi-agent learning,  Multi-agent_system,  238
models of learning,  Learning_styles,  1085
query learning,  Active_learning_(machine_learning),  123
structured prediction,  Structured_prediction,  109
reinforcement learning,  Reinforcement_learning,  989
sequential decision making,  Sequential_analysis,  126
inverse reinforcement learning,  Apprenticeship_learning,  19
apprenticeship learning,  Apprenticeship_learning,  19
multi-agent reinforcement learning,  Multi-agent_system,  238
adversarial learning,  Adversarial_machine_learning,  48
active learning,  Active_learning,  512
semi-supervised learning,  Semi-supervised_learning,  202
markov decision processes,  Markov_decision_process,  421
regret bounds,  Regret_(decision_theory),  105
algorithmic game theory and mechanism design,  Algorithmic_mechanism_design,  16
social networks,  Social_networking_service,  2473
algorithmic game theory,  Algorithmic_game_theory,  49
algorithmic mechanism design,  Algorithmic_mechanism_design,  16
solution concepts in game theory,  Solution_concept,  58
exact and approximate computation of equilibria,  Epsilon-equilibrium,  26
quality of equilibria,  Thermodynamic_equilibrium,  438
convergence and learning in games,  Fictitious_play,  24
market equilibria,  Economic_equilibrium,  439
computational pricing and auctions,  Combinatorial_auction,  23
representations of games and their complexity,  Succinct_game,  16
network games,  Game_Network,  27
network formation,  Network_formation,  7
computational advertising theory,  Computational_complexity_theory,  781
database theory,  Database_theory,  74
data exchange,  Data_exchange,  88
data provenance,  Provenance,  336
data modeling,  Logical_data_model,  212
database query languages,  Query_language,  246
database constraints theory,  Dependency_theory_(database_theory),  13
database interoperability,  Interoperability,  489
data structures and algorithms for data management,  Data_structure,  1485
database query processing and optimization,  Query_optimization,  194
data integration,  Oracle_Data_Integrator,  62
logic and databases,  Logical_data_model,  212
theory of database privacy and security,  Database_security,  249
incomplete inconsistent and uncertain databases,  Rough_set,  81
semantics and reasoning,  Semantic_reasoner,  111
program constructs,  Category:Programming_constructs,  28
control primitives,  Primitive_data_type,  286
functional constructs,  Functional_programming,  1777
object oriented constructs,  Object-oriented_programming,  3381
program schemes,  List_of_government_schemes_in_India,  2551
type structures,  Structural_type_system,  81
program semantics,  Semantics_(computer_science),  171
algebraic semantics,  Algebraic_semantics,  3
denotational semantics,  Denotational_semantics,  98
operational semantics,  Operational_semantics,  78
axiomatic semantics,  Axiomatic_semantics,  31
action semantics,  Action_semantics,  11
categorical semantics,  Categorical_logic,  40
program reasoning,  Automated_reasoning,  113
invariants,  Invariant_(mathematics),  178
program specifications,  Formal_specification,  108
pre- and post-conditions,  Postcondition,  40
program verification,  Formal_verification,  221
program analysis,  Program_analysis,  50
assertions,  Management_assertions,  151
parsing,  Parsing,  970
abstraction,  Abstraction,  662
mathematics of computing,  Category:Mathematics_of_computing,  4
discrete mathematics,  Discrete_mathematics,  1296
combinatorics,  Outline_of_combinatorics,  16
combinatoric problems,  Combinatorial_optimization,  293
permutations and combinations,  Permutation,  1365
combinatorial algorithms,  Category:Combinatorial_algorithms,  11
generating functions,  Generating_function,  291
combinatorial optimization,  Combinatorial_optimization,  293
combinatorics on words,  Combinatorics_on_words,  20
enumeration,  Enumeration,  325
graph theory,  Graph_theory,  1555
trees,  Tree,  3080
hypergraphs,  Hypergraph,  166
random graphs,  Random_graph,  124
graph coloring,  Graph_coloring,  485
paths and connectivity problems,  Connectivity_(graph_theory),  358
graph enumeration,  Graph_enumeration,  26
matchings and factors,  Graph_factorization,  38
graphs and surfaces,  Graph_embedding,  56
network flows,  Flow_network,  244
spectra of graphs,  Spectral_graph_theory,  108
extremal graph theory,  Extremal_graph_theory,  26
matroids and greedoids,  Greedoid,  16
graph algorithms,  Category:Graph_algorithms,  101
approximation algorithms,  Approximation_algorithm,  149
probability and statistics,  Probability_and_statistics,  187
probabilistic representations,  Robotic_mapping,  78
bayesian networks,  Bayesian_network,  902
markov networks,  Markov_random_field,  234
factor graphs,  Factor_graph,  68
decision diagrams,  Binary_decision_diagram,  158
equational models,  Structural_equation_modeling,  488
causal networks,  Bayesian_network,  902
stochastic differential equations,  Stochastic_differential_equation,  224
nonparametric representations,  Parametric_equation,  525
kernel density estimators,  Kernel_density_estimation,  684
spline models,  Spline_(mathematics),  607
bayesian nonparametric models,  Nonparametric_statistics,  701
probabilistic inference problems,  Bayesian_inference,  1048
maximum likelihood estimation,  Maximum_likelihood_estimation,  581
bayesian computation,  Approximate_Bayesian_computation,  84
computing most probable explanation,  Belief_propagation,  170
hypothesis testing and confidence interval computation,  Confidence_interval,  3345
density estimation,  Density_estimation,  166
quantile regression,  Quantile_regression,  203
max marginal computation,  Marginal_likelihood,  77
probabilistic reasoning algorithms,  Probabilistic_logic,  95
variable elimination,  Variable_elimination,  19
loopy belief propagation,  Belief_propagation,  170
variational methods,  Variational_Bayesian_methods,  168
expectation maximization,  Expectation–maximization_algorithm,  0
markov-chain monte carlo methods,  Metropolis-Hastings_algorithm,  24
gibbs sampling,  Gibbs_sampling,  355
metropolis-hastings algorithm,  Metropolis-Hastings_algorithm,  24
simulated annealing,  Simulated_annealing,  667
markov-chain monte carlo convergence measures,  Monte_Carlo_method,  2590
sequential monte carlo methods,  Particle_filter,  313
kalman filters and hidden markov models,  Kalman_filter,  1871
resampling methods,  Resampling_(statistics),  355
bootstrapping,  Bootstrapping_(statistics),  1082
jackknifing,  Jackknife_resampling,  169
random number generation,  Random_number_generation,  877
probabilistic algorithms,  Randomized_algorithm,  214
statistical paradigms,  Foundations_of_statistics,  35
queueing theory,  Queueing_theory,  704
contingency table analysis,  Contingency_table,  495
regression analysis,  Regression_analysis,  3496
robust regression,  Robust_regression,  236
time series analysis,  Time_series,  1288
survival analysis,  Survival_analysis,  590
renewal theory,  Renewal_theory,  84
dimensionality reduction,  Dimensionality_reduction,  368
cluster analysis,  Cluster_analysis,  1967
statistical graphics,  Statistical_graphics,  115
exploratory data analysis,  Exploratory_data_analysis,  358
stochastic processes,  Stochastic_process,  1050
markov processes,  Markov_chain,  2253
nonparametric statistics,  Nonparametric_statistics,  701
distribution functions,  Cumulative_distribution_function,  1859
multivariate statistics,  Multivariate_statistics,  458
mathematical software,  Mathematical_software,  102
solvers,  Solver,  45
statistical software,  List_of_statistical_packages,  530
mathematical software performance,  List_of_numerical_analysis_software,  161
information theory,  Information_theory,  1184
coding theory,  Coding_theory,  341
mathematical analysis,  Mathematical_analysis,  599
numerical analysis,  Numerical_analysis,  766
computation of transforms,  Fast_Fourier_transform,  1607
computations in finite fields,  Finite_field_arithmetic,  158
computations on matrices,  Matrix_(mathematics),  2805
computations on polynomials,  Polynomial,  1869
gröbner bases and other special bases,  Gröbner_basis,  112
number-theoretic computations,  Computational_number_theory,  36
interpolation,  Interpolation,  1201
numerical differentiation,  Numerical_differentiation,  256
interval arithmetic,  Interval_arithmetic,  100
arbitrary-precision arithmetic,  Arbitrary-precision_arithmetic,  183
automatic differentiation,  Automatic_differentiation,  228
mesh generation,  Mesh_generation,  97
discretization,  Discretization,  245
mathematical optimization,  Mathematical_optimization,  911
discrete optimization,  Discrete_optimization,  50
network optimization,  Network_theory,  318
continuous optimization,  Continuous_optimization,  13
linear programming,  Linear_programming,  1557
semidefinite programming,  Semidefinite_programming,  111
convex optimization,  Convex_optimization,  321
quasiconvex programming and unimodality,  Quasiconvex_function,  159
stochastic control and optimization,  Stochastic_optimization,  138
quadratic programming,  Quadratic_programming,  287
nonconvex optimization,  Convex_optimization,  321
mixed discrete-continuous optimization,  List_of_optimization_software,  177
submodular optimization and polymatroids,  Polymatroid,  9
integer programming,  Integer_programming,  468
differential equations,  Differential_equation,  1476
ordinary differential equations,  Differential_equation,  1476
partial differential equations,  Partial_differential_equation,  1075
differential algebraic equations,  Partial_differential_algebraic_equation,  9
differential variational inequalities,  Differential_variational_inequality,  4
calculus,  Calculus,  3207
lambda calculus,  Lambda_calculus,  1185
differential calculus,  Differential_calculus,  642
integral calculus,  Integral,  1807
functional analysis,  Functional_analysis,  399
approximation,  Approximation,  446
integral equations,  Integral_equation,  150
nonlinear equations,  Nonlinear_system,  544
quadrature,  In-phase_and_quadrature_components,  144
continuous mathematics,  Continuous_function,  788
calculus,  Calculus,  3207
lambda calculus,  Lambda_calculus,  1185
differential calculus,  Differential_calculus,  642
integral calculus,  Integral,  1807
topology,  Network_topology,  2203
point-set topology,  General_topology,  130
algebraic topology,  Algebraic_topology,  647
geometric topology,  Geometric_topology,  87
continuous functions,  Continuous_function,  788
information systems,  Information_system,  2085
data management systems,  Category:Database_management_systems,  144
database design and models,  Database_design,  460
relational database model,  Relational_model,  688
entity relationship models,  Entity–relationship_model,  0
graph-based database models,  Graph_database,  755
hierarchical data models,  Hierarchical_database_model,  371
network data models,  Network_model,  267
physical data models,  Physical_data_model,  81
data model extensions,  Hierarchical_Data_Format,  229
semi-structured data,  Semi-structured_data,  116
data streams,  Data_stream,  138
data provenance,  Provenance,  336
incomplete data,  Missing_data,  196
temporal data,  Temporal_database,  187
uncertainty,  Measurement_uncertainty,  273
inconsistent data,  Data_consistency,  71
data structures,  Data_structure,  1485
data access methods,  Data_access,  57
multidimensional range search,  K-d_tree,  496
data scans,  Image_scanner,  846
point lookups,  Lookup_table,  428
unidimensional range search,  Range_tree,  66
proximity search,  Proximity_search_(text),  49
data layout,  Column-oriented_DBMS,  478
data compression,  Data_compression,  1024
data encryption,  Encryption,  1928
record and block layout,  Fixed-block_architecture,  11
database management system engines,  Database_engine,  98
dbms engine architectures,  Relational_database_management_system,  1052
database query processing,  Query_optimization,  194
query optimization,  Query_optimization,  194
query operators,  Language_Integrated_Query,  258
query planning,  Query_plan,  86
join algorithms,  Category:Join_algorithms,  8
database transaction processing,  Transaction_processing,  271
data locking,  Lock_(database),  87
transaction logging,  Transaction_log,  136
database recovery,  Data_recovery,  300
record and buffer management,  Circular_buffer,  479
parallel and distributed dbmss,  Distributed_database,  522
key-value stores,  Key-value_database,  274
mapreduce-based systems,  MapReduce,  1606
relational parallel and distributed dbmss,  Distributed_database,  522
triggers and rules,  Event_condition_action,  22
database views,  View_(SQL),  754
integrity checking,  Data_integrity,  560
distributed database transactions,  Distributed_transaction,  84
distributed data locking,  Two-phase_locking,  238
deadlocks,  Deadlock,  961
distributed database recovery,  Two-phase_commit_protocol,  322
main memory engines,  In-memory_database,  347
online analytical processing engines,  Online_analytical_processing,  662
stream management,  Data_stream_management_system,  38
query languages,  Query_language,  246
relational database query languages,  Query_language,  246
structured query language,  SQL,  3748
xml,  XML,  3501
xpath,  XPath,  372
xquery,  XQuery,  169
query languages for non-relational engines,  NoSQL,  2443
mapreduce languages,  MapReduce,  1606
call level interfaces,  Call_Level_Interface,  23
database administration,  Database_administration_and_automation,  102
database utilities and tools,  Comparison_of_database_tools,  242
database performance evaluation,  Standard_Performance_Evaluation_Corporation,  40
autonomous database administration,  Distributed_database,  522
data dictionaries,  Data_dictionary,  345
information integration,  Information_integration,  36
deduplication,  Data_deduplication,  338
extraction transformation and loading,  ETL,  46
data exchange,  Data_exchange,  88
data cleaning,  Data_cleansing,  378
wrappers,  Wrapper_function,  159
mediators and data integration,  Data_integration,  331
entity resolution,  Record_linkage,  120
data warehouses,  Data_warehouse,  1587
federated databases,  Federated_database_system,  116
middleware for databases,  Middleware_(distributed_applications),  169
database web servers,  Web_server,  1301
application servers,  Application_server,  583
object-relational mapping facilities,  List_of_object-relational_mapping_software,  215
data federation tools,  Data_virtualization,  118
data replication tools,  Replication_(computing),  200
distributed transaction monitors,  Tuxedo_(software),  103
message queues,  Message_queue,  402
service buses,  Enterprise_service_bus,  755
enterprise application integration tools,  Enterprise_application_integration,  376
middleware business process managers,  Business_process_management,  921
information storage systems,  Computer_data_storage,  1448
information storage technologies,  Computer_data_storage,  1448
magnetic disks,  Magnetic_storage,  404
magnetic tapes,  Magnetic_tape,  512
optical / magneto-optical disks,  Magneto-optical_drive,  121
storage class memory,  Software-defined_memory,  8
flash memory,  Flash_memory,  1817
phase change memory,  Phase-change_memory,  175
disk arrays,  Disk_array,  72
tape libraries,  Tape_library,  89
record storage systems,  Records_management,  664
record storage alternatives,  List_of_file_systems,  286
heap,  Heap_(data_structure),  1343
hashed file organization,  Hash_function,  1802
indexed file organization,  Indexed_file,  38
linked lists,  Linked_list,  1271
directory structures,  Directory_structure,  128
b-trees,  B-tree,  1138
vnodes,  Virtual_file_system,  186
inodes,  Inode,  571
extent-based file structures,  Extent_(file_systems),  61
block / page strategies,  Strategic_block_investing,  4
slotted pages,  Slotted_nut,  5
intrapage space management,  IntraLinks,  63
interpage free-space management,  Web_page,  1275
record layout alternatives,  MARC_standards,  183
fixed length attributes,  Field_(computer_science),  146
variable length attributes,  Field_(computer_science),  146
null values in records,  Null_(SQL),  432
relational storage,  Relational_database,  1180
horizontal partitioning,  Partition_(database),  179
vertical partitioning,  Partition_(database),  179
column based storage,  Column-oriented_DBMS,  478
hybrid storage layouts,  Hybrid_vehicle_drivetrain,  286
compression strategies,  Strategy_dynamics,  43
storage replication,  Replication_(computing),  200
mirroring,  Mirroring_(psychology),  512
raid,  RAID,  2706
point-in-time copies,  FlashCopy,  18
remote replication,  Replication_(computing),  200
storage recovery strategies,  Seven_tiers_of_disaster_recovery,  81
storage architectures,  Serial_Storage_Architecture,  31
cloud based storage,  Cloud_storage,  1024
storage network architectures,  Storage_area_network,  1234
storage area networks,  Storage_area_network,  1234
direct attached storage,  Direct-attached_storage,  159
network attached storage,  Network-attached_storage,  1318
distributed storage,  Distributed_data_store,  88
storage management,  Hierarchical_storage_management,  83
hierarchical storage management,  Hierarchical_storage_management,  83
storage virtualization,  Storage_virtualization,  145
information lifecycle management,  Information_lifecycle_management,  23
version management,  Version_control,  705
storage power management,  Grid_energy_storage,  409
thin provisioning,  Thin_provisioning,  109
information systems applications,  Information_system,  2085
enterprise information systems,  Enterprise_information_system,  130
intranets,  Intranet,  994
extranets,  Extranet,  290
enterprise resource planning,  Enterprise_resource_planning,  3992
enterprise applications,  Enterprise_software,  570
data centers,  Data_center,  1461
collaborative and social computing systems and tools,  Social_computing,  104
blogs,  Blog,  5235
wikis,  Wiki,  19015
reputation systems,  Reputation_system,  69
open source software,  Open-source_software,  2131
social networking sites,  List_of_social_networking_websites,  4450
social tagging systems,  Social_bookmarking,  370
synchronous editors,  Collaborative_editing,  58
asynchronous editors,  Collaborative_editing,  58
spatial-temporal systems,  Spatiotemporal_database,  48
location based services,  Location-based_advertising,  50
geographic information systems,  Geographic_information_system,  2431
sensor networks,  Wireless_sensor_network,  649
data streaming,  Data_stream,  138
global positioning systems,  Global_Positioning_System,  4861
decision support systems,  Decision_support_system,  842
data warehouses,  Data_warehouse,  1587
expert systems,  Expert_system,  669
data analytics,  Data_analysis,  1877
online analytical processing,  Online_analytical_processing,  662
mobile information processing systems,  Information_processor,  46
process control systems,  Process_control,  427
multimedia information systems,  Multimedia,  1660
multimedia databases,  Multimedia_database,  123
multimedia streaming,  Streaming_media,  1893
multimedia content creation,  Content_creation,  127
massively multiplayer online games,  Massively_multiplayer_online_game,  754
data mining,  Data_mining,  2379
data cleaning,  Data_cleansing,  378
collaborative filtering,  Collaborative_filtering,  536
association rules,  Association_rule_learning,  584
clustering,  Cluster_analysis,  1967
nearest-neighbor search,  Nearest_neighbor_search,  338
data stream mining,  Data_stream_mining,  62
digital libraries and archives,  Digital_library,  544
computational advertising,  Andrei_Broder,  28
computing platforms,  Computing_platform,  826
world wide web,  World_Wide_Web,  4801
web searching and information discovery,  Social_search,  58
web search engines,  Web_search_engine,  2896
web crawling,  Web_crawler,  1398
web indexing,  Web_indexing,  149
page and site ranking,  PageRank,  1784
spam detection,  Anti-spam_techniques,  1026
content ranking,  Television_content_rating_systems,  566
collaborative filtering,  Collaborative_filtering,  536
social recommendation,  Recommender_system,  577
personalization,  Personalization,  214
social tagging,  Social_bookmarking,  370
online advertising,  Online_advertising,  1504
sponsored search advertising,  Search_advertising,  90
content match advertising,  Contextual_advertising,  192
display advertising,  Display_advertising,  377
social advertising,  Social_advertising_(social_relationships),  63
web mining,  Web_mining,  173
site wrapping,  Job_wrapping,  13
data extraction and integration,  Data_integration,  331
deep web,  Deep_web,  4544
surfacing,  Surfacing_(novel),  82
search results deduplication,  Data_deduplication,  338
web log analysis,  Web_log_analysis_software,  67
traffic analysis,  Traffic_analysis,  137
web applications,  Web_application,  1579
internet communications tools,  Collaboration_tool,  100
email,  Email,  3976
blogs,  Blog,  5235
texting,  Text_messaging,  1188
chat,  Online_chat,  586
web conferencing,  Web_conferencing,  387
social networks,  Social_networking_service,  2473
crowdsourcing,  Crowdsourcing,  1051
answer ranking,  Mean_reciprocal_rank,  53
trust,  Trust_(emotion),  307
incentive schemes,  Incentive_program,  166
reputation systems,  Reputation_system,  69
electronic commerce,  B2B_e-commerce,  51
digital cash,  Electronic_money,  348
e-commerce infrastructure,  Center_for_E-Commerce_Infrastructure_Development,  2
electronic data interchange,  Electronic_data_interchange,  886
electronic funds transfer,  Electronic_funds_transfer,  752
online shopping,  Online_shopping,  1629
online banking,  Online_banking,  1317
secure online transactions,  3-D_Secure,  601
online auctions,  Online_auction,  159
web interfaces,  User_interface,  1397
wikis,  Wiki_markup,  323
browsers,  Web_browser,  3618
mashups,  Mashup_(web_application_hybrid),  370
web services,  Web_service,  1603
simple object access protocol,  SOAP,  1883
restful web services,  Java_API_for_RESTful_Web_Services,  306
web services description language,  Web_Services_Description_Language,  518
universal description discovery and integration,  Web_Services_Discovery,  57
service discovery and interfaces,  Web_Services_Discovery,  57
web data description languages,  Web_Services_Description_Language,  518
semantic web description languages,  Web_Ontology_Language,  307
resource description framework,  Resource_Description_Framework,  664
web ontology language,  Web_Ontology_Language,  307
markup languages,  List_of_document_markup_languages,  82
extensible markup language,  XML,  3501
hypertext languages,  HTML,  4154
information retrieval,  Information_retrieval,  773
document representation,  Vector_space_model,  247
document structure,  Document_Structure_Description,  7
document topic models,  Topic_model,  189
content analysis and feature selection,  Feature_selection,  476
data encoding and canonicalization,  Canonicalization,  127
document collection models,  Vector_space_model,  247
ontologies,  Ontology_(information_science),  847
dictionaries,  Dictionary,  1656
thesauri,  Thesaurus,  751
information retrieval query processing,  Information_retrieval,  773
query representation,  Query_optimization,  194
query intent,  Intention_mining,  9
query log analysis,  Web_search_query,  141
query suggestion,  Search_suggest_drop-down_list,  13
query reformulation,  Query_expansion,  35
users and interactive retrieval,  Human-computer_information_retrieval,  1
personalization,  Personalization,  214
task models,  ConcurTaskTrees,  6
search interfaces,  Faceted_search,  210
collaborative search,  Collaborative_search_engine,  26
retrieval models and ranking,  Ranking_(information_retrieval),  21
rank aggregation,  Kemeny-Young_method,  10
probabilistic retrieval models,  Probabilistic_relevance_model,  22
language models,  Language_model,  168
similarity measures,  Similarity_measure,  111
learning to rank,  Learning_to_rank,  213
combination fusion and federated search,  Metasearch_engine,  423
information retrieval diversity,  Information_retrieval,  773
top-k retrieval in databases,  Information_retrieval,  773
novelty in information retrieval,  Relevance_(information_retrieval),  62
retrieval tasks and goals,  Information_retrieval,  773
question answering,  Question_answering,  191
document filtering,  Information_filtering_system,  39
recommender systems,  Recommender_system,  577
information extraction,  Information_extraction,  241
sentiment analysis,  Sentiment_analysis,  631
expert search,  Expert,  329
near-duplicate and plagiarism detection,  Plagiarism_detection,  155
clustering and classification,  Cluster_analysis,  1967
summarization,  Automatic_summarization,  233
business intelligence,  Business_intelligence,  1793
evaluation of retrieval results,  Evaluation_measures_(information_retrieval),  9
test collections,  Test_suite,  102
relevance assessment,  Relevance_(information_retrieval),  62
retrieval effectiveness,  Information_retrieval,  773
retrieval efficiency,  Information_retrieval,  773
presentation of retrieval results,  Information_retrieval,  773
search engine architectures and scalability,  Scalability,  859
search engine indexing,  Search_engine_indexing,  285
search index compression,  Search_engine_indexing,  285
distributed retrieval,  N-gram,  635
peer-to-peer retrieval,  Social_peer-to-peer_processes,  87
retrieval on mobile devices,  Mobile_device_forensics,  159
adversarial retrieval,  Adversarial_information_retrieval,  15
link and co-citation analysis,  Co-citation,  23
searching with auxiliary databases,  B-tree,  1138
specialized information retrieval,  Semantic_network,  243
structure and multilingual text search,  Search_engine_indexing,  285
structured text search,  Structured_text,  106
mathematics retrieval,  Information_retrieval,  773
chemical and biochemical retrieval,  Cheminformatics,  148
